,rating,likes,genre,top cast,language,director
Psycho,4.32,403790,"['Mystery', 'Thriller', 'Horror']","['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",English,Alfred Hitchcock
2001: A Space Odyssey,4.3,447180,"['Adventure', 'Mystery', 'Science Fiction']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",English,Stanley Kubrick
Schindler's List,4.52,356548,"['History', 'Drama', 'War']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",English,Steven Spielberg
GoodFellas,4.48,596488,"['Drama', 'Crime']","['Ray Liotta', 'Robert De Niro', 'Joe Pesci']",English,Martin Scorsese
Back to the Future,4.2,777751,"['Comedy', 'Science Fiction', 'Adventure']","['Michael J. Fox', 'Christopher Lloyd', 'Crispin Glover']",English,Robert Zemeckis
Lawrence of Arabia,4.35,79471,"['Adventure', 'War', 'History']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",English,David Lean
The Virgin Suicides,3.82,244142,"['Romance', 'Drama']","['James Woods', 'Kathleen Turner', 'Kirsten Dunst']",English,Sofia Coppola
Come and See,4.64,122563,"['War', 'Drama']","['Aleksei Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",Russian,Elem Klimov
The Prince of Egypt,3.99,110193,"['Adventure', 'Animation', 'Family', 'Drama']","['Val Kilmer', 'Ralph Fiennes', 'Michelle Pfeiffer']",English,Simon Wells
The Princess Bride,4.04,303186,"['Adventure', 'Romance', 'Fantasy', 'Family', 'Comedy']","['Cary Elwes', 'Robin Wright', 'Mandy Patinkin']",English,Rob Reiner
Spirited Away,4.46,1204588,"['Family', 'Fantasy', 'Animation']","['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",Japanese,Hayao Miyazaki
The Shawshank Redemption,4.55,751726,"['Crime', 'Drama']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",English,Frank Darabont
Mad Max: Fury Road,4.17,685323,"['Adventure', 'Science Fiction', 'Action']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",English,George Miller
