title,url,run again,critic rating,audience rating
The Prince of Egypt,https://www.rottentomatoes.com/m/prince_of_egypt,False,79,89
Spirited Away,https://www.rottentomatoes.com/m/the_super_mario_bros_movie,False,59,95
Spider-Man: Into the Spider-Verse,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,False,97,94
A Silent Voice,https://www.rottentomatoes.com/m/a_silent_voice,False,94,93
Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo,False,99,86
Kung Fu Panda,https://www.rottentomatoes.com/m/kung_fu_panda_3,False,86,79
Akira,https://www.rottentomatoes.com/m/akira,False,91,90
Toy Story,https://www.rottentomatoes.com/m/toy_story_3,False,98,90
The Lion King,https://www.rottentomatoes.com/m/lion_king_1_12,False,76,62
Up,https://www.rottentomatoes.com/m/up,False,98,90
Grave of the Fireflies,https://www.rottentomatoes.com/m/grave_of_the_fireflies_1988,False,,89
Millennium Actress,https://www.rottentomatoes.com/m/millennium_actress_2001,False,93,90
The SpongeBob SquarePants Movie,https://www.rottentomatoes.com/m/the_spongebob_squarepants_movie,False,68,78
Ratatouille,https://www.rottentomatoes.com/m/ratatouille,False,96,87
Princess Mononoke,https://www.rottentomatoes.com/m/wuthering_heights_1988,False,,
Shrek,https://www.rottentomatoes.com/m/donkeys_christmas_shrektacular,False,,46
My Neighbor Totoro,https://www.rottentomatoes.com/m/my_neighbor_adolf,False,58,90
The Iron Giant,https://www.rottentomatoes.com/m/iron_giant,False,96,90
Inside Out,https://www.rottentomatoes.com/m/inside_out_2015,False,98,89
Fantastic Planet,https://www.rottentomatoes.com/m/time-masters-les-maitres-du-temps,False,,81
The Nightmare Before Christmas,https://www.rottentomatoes.com/m/nightmare_before_christmas,False,95,92
Coco,https://www.rottentomatoes.com/m/coco_2017,False,97,94
Aladdin,https://www.rottentomatoes.com/m/disneys_aladdin,False,95,92
WALL·E,https://www.rottentomatoes.com/m/wall_e,False,95,90
Howl's Moving Castle,https://www.rottentomatoes.com/m/black_lizard,False,100,93
Beauty and the Beast,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991,False,93,93
Snow White and the Seven Dwarfs,https://www.rottentomatoes.com/m/snow_white_and_the_seven_dwarfs,False,97,78
Your Name.,https://www.rottentomatoes.com/m/your_name,False,,97
Ghost in the Shell,https://www.rottentomatoes.com/m/ghost_in_the_shell_sac_2045_the_last_human,False,,
The Lego Movie,https://www.rottentomatoes.com/m/the_lego_movie,False,96,87
"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc,False,96,90
Cinderella,https://www.rottentomatoes.com/m/cinderella,False,98,80
Soul,https://www.rottentomatoes.com/m/soul,False,95,88
Who Framed Roger Rabbit,https://www.rottentomatoes.com/m/who_framed_roger_rabbit,False,96,85
The Tale of the Princess Kaguya,https://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya_2013,False,,86
Only Yesterday,https://www.rottentomatoes.com/m/alibis_for_happiness,False,,
Alice in Wonderland,https://www.rottentomatoes.com/m/1029112-alice_in_wonderland,False,84,78
How the Grinch Stole Christmas!,https://www.rottentomatoes.com/m/dune_part_two,False,92,95
Whisper of the Heart,https://www.rottentomatoes.com/m/the_island_of_giant_insects,False,,
It's Such a Beautiful Day,https://www.rottentomatoes.com/m/its_such_a_beautiful_day,False,100,92
Fantastic Mr. Fox,https://www.rottentomatoes.com/m/1197696-fantastic_mr_fox,False,93,85
Ponyo,https://www.rottentomatoes.com/m/doi_boy,False,,60
The Incredibles,https://www.rottentomatoes.com/m/incredibles_2,False,93,84
Paprika,https://www.rottentomatoes.com/m/space_warrior_baldios,False,,
Fantasia,https://www.rottentomatoes.com/m/fantasia,False,95,83
My Life as a Zucchini,https://www.rottentomatoes.com/m/ma_vie_de_courgette,False,,95
The Breadwinner,https://www.rottentomatoes.com/m/the_breadwinner,False,95,88
Mulan,https://www.rottentomatoes.com/m/mulan,False,86,85
Puss in Boots: The Last Wish,https://www.rottentomatoes.com/m/puss_in_boots_the_last_wish,False,95,94
